"X"	"DE"
"383"	"ENSG00000230424"	FALSE
"384"	"ENSG00000127463"	TRUE
"385"	"ENSG00000053372"	TRUE
"386"	"ENSG00000211454"	FALSE
"387"	"ENSG00000162482"	FALSE
"388"	"ENSG00000270728"	FALSE
"389"	"ENSG00000053371"	FALSE
"390"	"ENSG00000200403"	FALSE
"391"	"ENSG00000040487"	FALSE
"392"	"ENSG00000265192"	FALSE
"393"	"ENSG00000077549"	FALSE
"394"	"ENSG00000173436"	FALSE
"395"	"ENSG00000226396"	FALSE
"396"	"ENSG00000158747"	TRUE
"397"	"ENSG00000162542"	FALSE
"398"	"ENSG00000169914"	FALSE
"399"	"ENSG00000127472"	FALSE
"400"	"ENSG00000117215"	FALSE
"401"	"ENSG00000227066"	FALSE
"402"	"ENSG00000187980"	FALSE
"403"	"ENSG00000162543"	TRUE
"404"	"ENSG00000158816"	FALSE
"405"	"ENSG00000236963"	FALSE
"406"	"ENSG00000162545"	TRUE
"407"	"ENSG00000090432"	FALSE
"408"	"ENSG00000158828"	FALSE
"409"	"ENSG00000117242"	FALSE
"410"	"ENSG00000244038"	FALSE
"411"	"ENSG00000117245"	FALSE
"412"	"ENSG00000189410"	FALSE
"413"	"ENSG00000127483"	FALSE
"414"	"ENSG00000203394"	FALSE
"415"	"ENSG00000075151"	FALSE
"416"	"ENSG00000235112"	FALSE
"417"	"ENSG00000266867"	FALSE
"418"	"ENSG00000117298"	TRUE
"419"	"ENSG00000231105"	FALSE
"420"	"ENSG00000236216"	FALSE
"421"	"ENSG00000236009"	FALSE
"422"	"ENSG00000227001"	FALSE
"423"	"ENSG00000187952"	FALSE
"424"	"ENSG00000186543"	FALSE
"425"	"ENSG00000142794"	FALSE
"426"	"ENSG00000162551"	TRUE
"427"	"ENSG00000076864"	TRUE
"428"	"ENSG00000090686"	FALSE
"429"	"ENSG00000187942"	TRUE
"430"	"ENSG00000142798"	FALSE
"431"	"ENSG00000232037"	FALSE
"432"	"ENSG00000219073"	FALSE
"433"	"ENSG00000264385"	FALSE
"434"	"ENSG00000263582"	FALSE
"435"	"ENSG00000228397"	FALSE
"436"	"ENSG00000218510"	FALSE
"437"	"ENSG00000070831"	FALSE
"438"	"ENSG00000230068"	FALSE
"439"	"ENSG00000162552"	FALSE
"440"	"ENSG00000234397"	FALSE
"441"	"ENSG00000184677"	FALSE
"442"	"ENSG00000237200"	FALSE
"443"	"ENSG00000070886"	FALSE
"444"	"ENSG00000173372"	FALSE
"445"	"ENSG00000133216"	FALSE
"446"	"ENSG00000216157"	FALSE
"447"	"ENSG00000227868"	FALSE
"448"	"ENSG00000004487"	FALSE
"449"	"ENSG00000169641"	TRUE
"450"	"ENSG00000179546"	TRUE
"451"	"ENSG00000215381"	FALSE
"452"	"ENSG00000261326"	FALSE
"453"	"ENSG00000125944"	TRUE
"454"	"ENSG00000125945"	FALSE
"455"	"ENSG00000249087"	FALSE
"456"	"ENSG00000271420"	FALSE
"457"	"ENSG00000204219"	FALSE
"458"	"ENSG00000088280"	TRUE
"459"	"ENSG00000007968"	TRUE
"460"	"ENSG00000235052"	FALSE
"461"	"ENSG00000117318"	TRUE
"462"	"ENSG00000197880"	FALSE
"463"	"ENSG00000142676"	FALSE
"464"	"ENSG00000203589"	FALSE
"465"	"ENSG00000011007"	TRUE
"466"	"ENSG00000236810"	TRUE
"467"	"ENSG00000057757"	FALSE
"468"	"ENSG00000011009"	FALSE
"469"	"ENSG00000117308"	TRUE
"470"	"ENSG00000117305"	FALSE
"471"	"ENSG00000179163"	TRUE
"472"	"ENSG00000188822"	FALSE
"473"	"ENSG00000264347"	FALSE
"474"	"ENSG00000229106"	FALSE
"475"	"ENSG00000230228"	FALSE
"476"	"ENSG00000189266"	TRUE
"477"	"ENSG00000188529"	FALSE
"478"	"ENSG00000225315"	FALSE
"479"	"ENSG00000142661"	FALSE
"480"	"ENSG00000230703"	FALSE
"481"	"ENSG00000142677"	FALSE
"482"	"ENSG00000185436"	FALSE
"483"	"ENSG00000230023"	FALSE
"484"	"ENSG00000232298"	FALSE
"485"	"ENSG00000158055"	TRUE
"486"	"ENSG00000001460"	TRUE
"487"	"ENSG00000001461"	TRUE
"488"	"ENSG00000117602"	TRUE
"489"	"ENSG00000266551"	FALSE
"490"	"ENSG00000264443"	TRUE
